首页		index
渔牧精品区	highGoodsArea
列表页		proList
详情页		details
购物车		cart
结算页		settlement
提交成功页	submitSucce
全部订单		myOrder
待付款		notPaying
待收货		notReceiving
待评价		noEvaluation
我的评价		evaluation
交易成功		successfulDeal
订单详情		orderDetails
取消订单记录	cancelOrder
返修退换货	repairReturn
返修退换货记录	repairRecords
售后申请		afterApplication
账户安全		accountSecurity
个人信息		personalCenter
收货地址		shippingAddress
登录页		loginPage
注册页		registered
输入验证码	verificationCode
设置密码		changePassword
密码修改成功	modifySuccessfully
帮助_免费注册	helpMianFeiZhuCe
帮助_购物流程	helpGouWuLiuCheng
帮助_找回密码	helpZhaoHuiMiMa
帮助_支付方式	helpZhiFuFangShi
帮助_支付流程	helpZhiFuLiuCheng
帮助_快递运输	helpKuaiDiYunShu
帮助_验货拒收	helpYanHuoJuShou
帮助_返修退换	helpFanXiuTuiHuan
帮助_返修退换	helpQuXiaoDingDan
帮助_联系我们	helpLianXiWoMen

商家入驻		shangJiaRuZhu
公司信息		gongSiXinXi
联系方式		lianXiFangShi
入驻审核		ruZhuShenHe
